,n_estimators,criterion,max_depth,min_samples_split,max_features,bootstrap,max_samples,random_state,n_jobs,rmspe_train,rmspe_val,algoritmo,tiempo_min
0,77,squared_error,13,64,0.5239126993836312,True,0.6699365612515698,42,-1,0.33311495946538583,0.35330163050790286,RandomForestRegressor,0.0
0,71,friedman_mse,8,70,0.45893595834564577,True,0.25465528449534786,42,-1,0.34910600109422346,0.370809924354783,RandomForestRegressor,0.0
0,61,friedman_mse,8,91,0.7471968857505258,True,0.38128089440505963,42,-1,0.3542295982760628,0.376217432902499,RandomForestRegressor,0.0
0,63,squared_error,7,79,0.5769757423059091,True,0.30617069942481356,42,-1,0.3497072253159225,0.37144801851774684,RandomForestRegressor,0.0
0,52,poisson,6,92,0.39032461894269,True,0.5018302764480382,42,-1,0.3508012797634735,0.3726066220613826,RandomForestRegressor,0.0
0,52,friedman_mse,14,87,0.388921033283805,True,0.28511095467760883,42,-1,0.3439484285739447,0.3652907817590949,RandomForestRegressor,0.0
0,65,squared_error,11,83,0.7341335676550982,True,0.7910368351609847,42,-1,0.35215598573097495,0.374036901562663,RandomForestRegressor,0.0
0,75,squared_error,8,84,0.6322659433204867,True,0.7068981081025045,42,-1,0.35279813473916294,0.37471326246310516,RandomForestRegressor,0.0
0,70,poisson,15,60,0.36176640499508905,True,0.7916589751547516,42,-1,0.34724272551712965,0.35665060293376827,RandomForestRegressor,0.0
0,70,poisson,10,81,0.6932203591677792,True,0.5716839077468997,42,-1,0.35302418279983594,0.37495111466888226,RandomForestRegressor,0.0
0,72,squared_error,8,88,0.31102013460071654,True,0.7981335826656795,42,-1,0.3531908618995339,0.37512641907320077,RandomForestRegressor,0.0
0,52,friedman_mse,5,62,0.7164713742879711,True,0.5663068054526426,42,-1,0.35130627754508253,0.3731403420350944,RandomForestRegressor,0.0
0,53,poisson,13,95,0.33069582666827313,True,0.7153140652246563,42,-1,0.35080804120614817,0.37261377247125105,RandomForestRegressor,0.0
0,71,poisson,8,65,0.39104850628180965,True,0.6578708680261317,42,-1,0.34642562263238647,0.3679339506440194,RandomForestRegressor,0.0
0,59,squared_error,6,61,0.2712882579000157,True,0.5209169074073985,42,-1,0.35363618366520994,0.3755944617158634,RandomForestRegressor,0.0
0,77,poisson,14,70,0.25636874872381415,True,0.280138955667804,42,-1,0.3501796210602191,0.3719486820019181,RandomForestRegressor,0.0
0,63,squared_error,11,74,0.31920302250313953,True,0.5787899252587675,42,-1,0.35279778002700424,0.374712889131045,RandomForestRegressor,0.0
0,60,squared_error,7,80,0.7810684116265698,True,0.3735128361849841,42,-1,0.3519989044556778,0.3738712963410128,RandomForestRegressor,0.0
0,53,squared_error,9,87,0.7674864626766478,True,0.6351519605086056,42,-1,0.350768982292098,0.3725724649434434,RandomForestRegressor,0.0
0,72,poisson,7,66,0.3026058830793366,True,0.6370243725377193,42,-1,0.35328834686544003,0.37522891796546676,RandomForestRegressor,0.0
0,74,squared_error,8,90,0.22001075472052342,True,0.48946940354612667,42,-1,0.3532829548453379,0.3752232492089216,RandomForestRegressor,0.0
0,76,squared_error,15,83,0.6170165264958927,True,0.7194574890793064,42,-1,0.3528724249420994,0.374791445671394,RandomForestRegressor,0.0
0,62,poisson,6,84,0.4954709574338536,True,0.43576516752022887,42,-1,0.3548092310217286,0.37682515829273017,RandomForestRegressor,0.0
0,68,poisson,8,85,0.5731414981683773,True,0.2704861114184007,42,-1,0.3484667470065522,0.3701303426100771,RandomForestRegressor,0.0
0,77,friedman_mse,15,70,0.3551756339007921,True,0.7198517008139842,42,-1,0.3491060010942235,0.37080992435478316,RandomForestRegressor,0.0
0,75,squared_error,11,93,0.21616671163237988,True,0.3871391506667035,42,-1,0.3533572306330574,0.3753013310087253,RandomForestRegressor,0.0
0,78,squared_error,14,90,0.3080743602860744,True,0.2545050736813067,42,-1,0.34910600109422335,0.370809924354783,RandomForestRegressor,0.0
0,59,poisson,14,66,0.701174524071184,True,0.6981550083958211,42,-1,0.336861040675993,0.3572510500675654,RandomForestRegressor,0.0
0,53,squared_error,12,79,0.3057120357518514,True,0.2548449187058482,42,-1,0.3420093474935319,0.36319198654222534,RandomForestRegressor,0.0
0,77,squared_error,6,73,0.42125483652996454,True,0.6396244832414513,42,-1,0.35376203823055163,0.3757266530256994,RandomForestRegressor,0.0
0,60,squared_error,10,80,0.7221865877586928,True,0.20528092878844026,42,-1,0.34658565359486226,0.36812352244562935,RandomForestRegressor,0.0
