period,channel,campaign_id,adset_id,ad_id,ret_orders,orders,users,atc_users,ic_users,impressions,clicks
2024-04-09,Facebook,120203630506630592,120203630506660592,120206151462140592,,,,,,28.0,
2024-04-07,Facebook,120203630506630592,120203630506660592,120203631867950592,2.0,11.0,344.0,69.0,45.0,47932.0,378.0
2024-04-02,Facebook,23859030790840682,23861920362640682,120204835050310683,,,,,,1.0,
2024-04-01,Facebook,120203630506630592,120203630506660592,120206151462140592,,,,,,124.0,
2024-04-11,Facebook,23859030790840682,23859030790930682,120204834856250683,,,,,,4.0,
2024-04-09,Facebook,23859030790840682,23859030790930682,120204834856250683,,,,,,5.0,
2024-04-11,Facebook,23859030790840682,23859030790930682,120204835491340683,,,,,,13.0,
2024-04-05,Facebook,23859030790840682,120201741802920683,120201741802950683,2.0,1.0,5.0,2.0,2.0,96.0,3.0
2024-04-05,Facebook,120203630506630592,120203630506660592,120206151462140592,,,,,,18.0,
2024-04-07,Facebook,120203630506630592,120203630506660592,120206151462140592,,,,,,17.0,
2024-04-04,Facebook,23859030790840682,23859030790930682,120204834856250683,,,,,,2.0,
2024-04-02,Facebook,23859030790840682,120201741802920683,120201741802950683,,,,,,20.0,4.0
2024-04-03,Facebook,23859030790840682,23859030790930682,120204835491340683,,,,,,5.0,
2024-04-03,Facebook,23859030790840682,23861920362640682,120202376221700683,,,,,,549.0,19.0
2024-04-05,Facebook,23859030790840682,120201741802920683,120208097717820683,,,,,,1461.0,29.0
2024-04-03,Facebook,23859030790840682,120201741802920683,120208097717820683,,,,,,148.0,4.0
2024-04-08,Facebook,120203630506630592,120203630506660592,120203631867950592,1.0,15.0,346.0,70.0,41.0,52229.0,374.0
2024-04-03,Facebook,23859030790840682,23859030790930682,120200811888030683,,,,,,43.0,3.0
2024-04-10,Facebook,120208510961980036,120208510961940036,120208511814890036,,,,,,1.0,
2024-04-10,Facebook,23859030790840682,23859030790930682,120200811888030683,,,,,,4.0,
2024-04-03,Facebook,120207598978660683,120207598978710683,120207604702090683,0.0,1.0,181.0,14.0,14.0,3608.0,179.0
2024-04-04,Facebook,120208510961980036,120208510961940036,120208511470700036,,,,,,5.0,
2024-04-04,Facebook,120207664117560341,120207664117550341,120207664290510341,,,,,,10.0,
2024-04-02,Facebook,120207598978660683,120207606352730683,120207607083820683,,,,,,19.0,
2024-04-07,Facebook,120203630506630592,120203630506660592,120206151429770592,,,,,,10.0,
2024-04-05,Facebook,23859030790840682,23859030790930682,120201172469810683,0.0,1.0,36.0,2.0,2.0,1028.0,34.0
2024-04-05,Facebook,23859030790840682,23859030790930682,120203517591390683,,,,,,7.0,
2024-04-07,Facebook,23859030790840682,23859030790930682,120200580263050683,,,,,,6.0,
2024-04-03,Facebook,23859030790840682,23859030790930682,120200580263050683,,,,,,3.0,1.0
2024-04-04,Facebook,120203630506630592,120203630506660592,120207033238140592,,,,,,208.0,
2024-04-06,Facebook,120207598978660683,120207598978710683,120207605469700683,,,,,,2364.0,79.0
2024-04-01,Facebook,120203630506630592,120203630506660592,120207033209930592,,,,,,266.0,
2024-04-01,Facebook,23859030790840682,120201741802920683,120201979117570683,,,,,,5.0,
2024-04-07,Facebook,120207598978660683,120207606352730683,120207606615130683,,,,,,24.0,
2024-04-09,Facebook,23859030790840682,120201741802920683,120201979117570683,,,,,,18.0,
2024-04-02,Facebook,23859030790840682,23859030790930682,120204834856250683,,,,,,2.0,
2024-04-04,Facebook,23859030790840682,120201741802920683,120201741802950683,,,,,,56.0,3.0
2024-04-05,Facebook,120207598978660683,120207598978710683,120207658328380683,,,,,,5.0,
2024-04-09,Facebook,120208510961980036,120208510961940036,120208510961990036,,,,,,4.0,
2024-04-01,Facebook,120203630506630592,120203630506660592,120207347910290592,,,,,,14.0,
2024-04-06,Facebook,23859030790840682,120201741802920683,120208097327310683,,,,,,560.0,13.0
2024-04-01,Facebook,23859030790840682,23861920362640682,120202284614640683,,,,,,158.0,7.0
2024-04-01,Facebook,23859030790840682,23861920362640682,23861920362580682,,,,,,4.0,
2024-04-02,Facebook,23859030790840682,120201741802920683,120208097717820683,0.0,0.0,79.0,4.0,4.0,3680.0,95.0
2024-04-07,Facebook,120207598978660683,120207598978710683,120207658328380683,,,,,,3.0,
2024-04-04,Facebook,23859030790840682,23861920362640682,23861920362630682,,,,,,12.0,
2024-04-07,Facebook,23859030790840682,120201741802920683,120208097717820683,0.0,1.0,45.0,4.0,4.0,2331.0,50.0
2024-04-02,Facebook,23859030790840682,23861920362640682,120203517566840683,,,,,,4.0,
2024-04-07,Facebook,23859030790840682,120201741802920683,120204834625390683,,,,,,6.0,
2024-04-07,Facebook,23859030790840682,120201741802920683,120201741802960683,,,,,,10.0,
2024-04-09,Facebook,120207598978660683,120207606352730683,120207607083820683,,,,,,73.0,2.0
2024-04-07,Facebook,120208510961980036,120208510961940036,120208511470700036,,,,,,3.0,
2024-04-10,Facebook,120203630506630592,120203630506660592,120207033230670592,,,,,,5.0,
2024-04-06,Facebook,120207664117560341,120207664117550341,120207664184850341,,,,,,1.0,
2024-04-06,Facebook,120207598978660683,120207598978710683,120207605469690683,,,,,,8.0,
2024-04-09,Facebook,23859030790840682,120201741802920683,120201741802970683,,,,,,1.0,
2024-04-03,Facebook,120207664117560341,120207664117550341,120207664117570341,,,,,,10.0,
2024-04-04,Facebook,120207598978660683,120207598978710683,120208776602150683,,,,,,256.0,7.0
2024-04-08,Facebook,120207598978660683,120207598978710683,120207605469710683,,,,,,3.0,
2024-04-05,Facebook,23859030790840682,23859030790930682,120204834856260683,,,,,,44.0,
2024-04-11,Facebook,120203630506630592,120203630506660592,120206151447830592,,,,,,99.0,
2024-04-10,Facebook,120207598978660683,120207606352730683,120207606615140683,,,,,,967.0,22.0
2024-04-04,Facebook,23859030790840682,23859030790930682,120203517591390683,,,,,,49.0,2.0
2024-04-08,Facebook,23859030790840682,23859030790930682,120203517591390683,,,,,,8.0,
2024-04-08,Facebook,23859030790840682,23859030790930682,120201172469810683,,,,,,625.0,18.0
2024-04-03,Facebook,120207664117560341,120207664117550341,120207664184850341,,,,,,5.0,
2024-04-02,Facebook,120207598978660683,120207598978710683,120207660608920683,,,,,,18.0,
2024-04-07,Facebook,120203630506630592,120203630506660592,120207347892420592,,,,,,788.0,3.0
2024-04-01,Facebook,23859030790840682,23859030790930682,120204834856240683,,,,,,6.0,
2024-04-07,Facebook,120203630506630592,120203630506660592,120207347898770592,,,,,,2.0,
2024-04-10,Facebook,23859030790840682,120201741802920683,120201741802960683,,,,,,10.0,
2024-04-07,Facebook,23859030790840682,23859030790930682,120201172469810683,0.0,1.0,32.0,2.0,2.0,909.0,37.0
2024-04-10,Facebook,23859030790840682,120201741802920683,120201979117570683,,,,,,22.0,1.0
2024-04-04,Facebook,23859030790840682,23859030790930682,120204834856230683,,,,,,3.0,
2024-04-07,Facebook,120208510961980036,120208510961940036,120208511814890036,,,,,,2.0,
2024-04-05,Facebook,120208510961980036,120208510961940036,120208510961990036,,,,,,2.0,
2024-04-10,Facebook,120208510961980036,120208510961940036,120208511470700036,,,,,,1.0,
2024-04-05,Facebook,120207664117560341,120207664117550341,120207664290510341,,,,,,1.0,
2024-04-06,Facebook,120203630506630592,120203630506660592,120203630506670592,,,,,,290.0,2.0
2024-04-01,Facebook,120207598978660683,120207598978710683,120208097259250683,,,,,,241.0,8.0
2024-04-03,Facebook,23859030790840682,120201741802920683,120201741802970683,,,,,,6.0,1.0
2024-04-10,Facebook,120207598978660683,120207598978710683,120207660608900683,,,,,,2.0,
2024-04-01,Facebook,120207598978660683,120207598978710683,120207605469710683,,,,,,9.0,
2024-04-09,Facebook,120207598978660683,120207598978710683,120207605469710683,,,,,,16.0,
2024-04-05,Facebook,23859030790840682,120201741802920683,120202284364790683,0.0,1.0,26.0,1.0,1.0,1271.0,32.0
2024-04-09,Facebook,23859030790840682,120201741802920683,120203517272330683,,,,,,37.0,
2024-04-05,Facebook,23859030790840682,120201741802920683,120204834625390683,,,,,,16.0,
2024-04-07,Facebook,23859030790840682,23859030790930682,120203517591390683,,,,,,37.0,2.0
2024-04-03,Facebook,23859030790840682,23859030790930682,120201172469810683,,,,,,1630.0,51.0
2024-04-02,Facebook,23859030790840682,23859030790930682,120203517591390683,,,,,,5.0,
2024-04-10,Facebook,120207598978660683,120207606352730683,120207606352940683,,,,,,217.0,3.0
2024-04-04,Facebook,120207598978660683,120207606352730683,120207606615140683,0.0,1.0,18.0,3.0,3.0,1111.0,25.0
2024-04-11,Facebook,23859030790840682,23859030790930682,120201038371050683,,,,,,24.0,
2024-04-10,Facebook,120203630506630592,120203630506660592,120206151447830592,,,,,,54.0,
2024-04-08,Facebook,23859030790840682,23859030790930682,23859030790890682,,,,,,250.0,3.0
2024-04-01,Facebook,120203630506630592,120203630506660592,120206151458400592,,,,,,174.0,2.0
2024-04-01,Facebook,120203630506630592,120203630506660592,120206151429770592,,,,,,71.0,
2024-04-09,Facebook,120203630506630592,120203630506660592,120206151429770592,,,,,,31.0,
2024-04-03,Facebook,120203630506630592,120203630506660592,120206151469040592,,,,,,132.0,2.0
2024-04-03,Facebook,23859030790840682,23861920362640682,23861920362630682,,,,,,34.0,
2024-04-04,Facebook,120207598978660683,120207598978710683,120207658328380683,,,,,,5.0,
2024-04-03,Facebook,23859030790840682,23859030790930682,120204835491350683,,,,,,2.0,
2024-04-02,Facebook,23859030790840682,23861920362640682,120204834707940683,,,,,,3.0,
2024-04-07,Facebook,23859030790840682,23859030790930682,120204835491350683,,,,,,7.0,
2024-04-08,Facebook,120207598978660683,120207606352730683,120207607083830683,,,,,,23.0,
2024-04-10,Facebook,120203630506630592,120203630506660592,120207033238140592,,,,,,288.0,1.0
2024-04-07,Facebook,120203630506630592,120203630506660592,120207033224060592,,,,,,30.0,
2024-04-05,Facebook,120207598978660683,120207598978710683,120207605469700683,,,,,,2129.0,83.0
2024-04-05,Facebook,120207598978660683,120207606352730683,120207606615100683,,,,,,164.0,2.0
2024-04-02,Facebook,23859030790840682,23859030790930682,120204834856230683,,,,,,1.0,
2024-04-06,Facebook,23859030790840682,23859030790930682,120202376294300683,,,,,,155.0,5.0
2024-04-02,Facebook,120207598978660683,120207606352730683,120207606615110683,,,,,,231.0,7.0
2024-04-09,Facebook,120207598978660683,120207598978710683,120208776602150683,,,,,,28.0,1.0
2024-04-02,Facebook,23859030790840682,120201741802920683,120202284364790683,,,,,,2533.0,62.0
2024-04-06,Facebook,120207598978660683,120207598978710683,120208776023920683,,,,,,1.0,
2024-04-06,Facebook,120207598978660683,120207598978710683,120208776940630683,,,,,,42.0,1.0
