user_id,event_type,event_id,ts
1mZz80IUovW2CofPjgSxdmLcO5i5/64ThtdQ06bl8Kc=,Page,ajs-next-6833c4d380a791710ca92e7d49ac6190,2022-12-13 01:32:00.956000
1mZz80IUovW2CofPjgSxdmLcO5i5/64ThtdQ06bl8Kc=,Pop-up Email Viewed,ajs-next-e09da6229c0c062d34c31ae4ad05f5a3,2022-12-13 01:40:51.279000
1mZz80IUovW2CofPjgSxdmLcO5i5/64ThtdQ06bl8Kc=,Product Viewed,ajs-next-6f1f4a04d90babcbccbb6eea46c55988,2022-12-13 01:42:21.059000
Ozh+QznC5hmgYLPBBHotopjH6MrHHmUFif7BZt7zaR0=,Product Added,ajs-next-c5a676f3d945780ea5aac37ef1eb7a04,2023-01-27 19:20:26.374000
Ozh+QznC5hmgYLPBBHotopjH6MrHHmUFif7BZt7zaR0=,Product Added,ajs-next-2afd45068e1f3d42e77b9dbd26bfe29f,2023-01-27 19:22:45.472000
Ozh+QznC5hmgYLPBBHotopjH6MrHHmUFif7BZt7zaR0=,Checkout Started,ajs-next-38ec79d8c54c80512707f846226443a0,2023-01-27 19:23:00.890000
Ozh+QznC5hmgYLPBBHotopjH6MrHHmUFif7BZt7zaR0=,Checkout Started,ajs-next-44de790eff89ea2cd9e33f054da89752,2023-01-27 20:48:06.234000
Ozh+QznC5hmgYLPBBHotopjH6MrHHmUFif7BZt7zaR0=,Page,ajs-next-2a959e908d600e94786405a4b9953116,2023-01-27 20:47:53.307000
Ozh+QznC5hmgYLPBBHotopjH6MrHHmUFif7BZt7zaR0=,Page,ajs-next-ec4274c2cd5a00a665a03b96d670aaad,2023-01-27 20:47:08.205000
Ozh+QznC5hmgYLPBBHotopjH6MrHHmUFif7BZt7zaR0=,Page,ajs-next-15478224050b12a12361f405131053dd,2023-01-27 20:46:53.744000
Ozh+QznC5hmgYLPBBHotopjH6MrHHmUFif7BZt7zaR0=,Product Viewed,ajs-next-56a4d787ffd5c49feae70e42328b9c57,2023-01-27 19:19:53.533000
Ozh+QznC5hmgYLPBBHotopjH6MrHHmUFif7BZt7zaR0=,Product Viewed,ajs-next-fa5245440835cf4cf4c8adc8777f9549,2023-01-27 19:22:14.221000
c0FaP2V/PLn2bzctrX2Rdkvg9NjL1+QAKk4ErOcmnZc=,Page,ajs-next-8bd31269924797f9ddfbe96453b92a1c,2022-11-07 00:33:23.653000
