id,day,popup_id,popup_name,popup_strategy,popup_discount
c0a56a77-8fc4-44d4-aee4-6abd9649fc8b,2024-04-05,01g1cj9b,,,
ajs-next-22b8c5757803c8bb178aa0bf5e13d67b,2024-03-05,855705,Exit Intent | ACQ NON PDP | Mobile | 10 OFF | SMS Trigger | 976282,Exit Intent,10 OFF
6857082c-7191-4bd6-a342-614a2b7909ba,2024-04-05,xxsoyodj,1st Page | Regular_Traffic | Mobile | 10 OFF | SMS trigger,1st Page,10 OFF
701b9471-132a-4d7a-900f-ba3b368ed986,2024-02-10,xgeht1ip,,,
96289cac-beae-4efe-9c71-87db31ad6146,2024-01-27,xgeht1ip,,,
482ac15a-d7d8-4b17-b0b4-c8b753dbba6e,2024-04-05,01g1cj9b,,,
ajs-next-67c427dc8155db7ff6661c7783201536,2024-03-23,948589,CREDIT CAMPAIGN - PDP - Desktop,CREDIT CAMPAIGN - PDP - Desktop,
ajs-next-41bb4fa1c9b5b46daf8ba2da1d3d8d28,2024-03-23,948589,CREDIT CAMPAIGN - PDP - Desktop,CREDIT CAMPAIGN - PDP - Desktop,
ajs-next-ba1e64c9e01d6ec5d88880bb8f1c41f3,2024-03-23,948587,CREDIT CAMPAIGN - Collection - Desktop,CREDIT CAMPAIGN - Collection - Desktop,
ajs-next-4219561201619cd2783bb6509b9b41d1,2024-03-23,948589,CREDIT CAMPAIGN - PDP - Desktop,CREDIT CAMPAIGN - PDP - Desktop,
58a37dfc-8291-4c0d-a1bf-ec4a98c0b075,2024-04-11,t02svbd7,,,
60563f46-614a-49d6-8339-79710209be40,2024-04-11,xxsoyodj,1st Page | Regular_Traffic | Mobile | 10 OFF | SMS trigger,1st Page,10 OFF
6eb261c1-c3cb-4c8a-bff7-db6910891915,2024-04-01,err1rqhe,,,
ajs-next-818d72f55e2164c970bf23718e27ab57,2024-03-23,948589,CREDIT CAMPAIGN - PDP - Desktop,CREDIT CAMPAIGN - PDP - Desktop,
ajs-next-04016867cd8d636ac8ad28136eb436eb,2024-03-23,948587,CREDIT CAMPAIGN - Collection - Desktop,CREDIT CAMPAIGN - Collection - Desktop,
ajs-next-2ba42f5d0f96817d171a6bd61cb98a0b,2024-03-23,948587,CREDIT CAMPAIGN - Collection - Desktop,CREDIT CAMPAIGN - Collection - Desktop,
ajs-next-eb84b95d841f3235b3429a09e4af851a,2024-03-23,948589,CREDIT CAMPAIGN - PDP - Desktop,CREDIT CAMPAIGN - PDP - Desktop,
ajs-next-98ad5673a4876638638239c21679b271,2024-03-23,948589,CREDIT CAMPAIGN - PDP - Desktop,CREDIT CAMPAIGN - PDP - Desktop,
254fba83-1456-4172-8340-5244c64223d3,2024-04-11,t02svbd7,,,
6f9cfd6c-8701-483c-a804-913d63f36844,2024-02-15,t7i0v4ic,,,
ajs-next-fae8b881a2cd2487c50ddc958eabf6a5,2024-03-23,948589,CREDIT CAMPAIGN - PDP - Desktop,CREDIT CAMPAIGN - PDP - Desktop,
ajs-next-b7af180eef35526e44ccc93e31435759,2024-03-23,948589,CREDIT CAMPAIGN - PDP - Desktop,CREDIT CAMPAIGN - PDP - Desktop,
ajs-next-bbf1bca86f8387e4ec33548e228cecfa,2024-03-23,948589,CREDIT CAMPAIGN - PDP - Desktop,CREDIT CAMPAIGN - PDP - Desktop,
ajs-next-1925cb55ff455d5e305b94ad3ceb1bed,2024-03-23,948589,CREDIT CAMPAIGN - PDP - Desktop,CREDIT CAMPAIGN - PDP - Desktop,
ajs-next-61b784212be29a53b99e7e544fdfda79,2024-03-23,948589,CREDIT CAMPAIGN - PDP - Desktop,CREDIT CAMPAIGN - PDP - Desktop,
91da1e44-676e-4e26-a81e-f0c1c8880804,2024-04-05,bgon53q1,Exit Intent | Regular_Traffic | Desktop | 10 OFF | SMS trigger,Exit Intent,10 OFF
47f85a68-ce74-48d9-8c57-ac0dd11590e6,2024-04-11,t02svbd7,,,
5e3a21fb-638c-4db7-a9c6-7099089d06df,2024-04-11,t02svbd7,,,
