id,timestamp,variant,price
ajs-next-26897e7ca8d5bc510b283a0b1cdd2aa0,2024-01-12 15:05:05.003000,SHE-SNU-95002-S-BLK,48
ajs-next-1b4d683734019eb8e2b026e803f134f4,2024-01-12 15:05:10.808000,SHE-SNU-95002-S-BLK,34.99
ajs-next-129a6e58296f09c996bfe8f9c10360a8,2024-01-20 00:33:45.865000,"",28.99
ajs-next-1f6215caa28d03e69e6c1d260815dbd3,2024-01-20 00:33:51.433000,"",28.99
ajs-next-89d07566c508ca3f26f3c922b66c9d22,2024-01-19 13:20:28.653000,"",32.99
ajs-next-4df20881c618aca6790df56d3b5d9b44,2024-03-22 08:55:58.042000,SHE-EMS-52002-S-BLK,29.99
ajs-next-e1159ee908b15eb69481aacee853239e,2024-03-22 08:33:06.385000,TRU-SPB-10022-S-BLK,26.99
ajs-next-a8efa47b1d346828fcd129487492071e,2024-01-03 04:47:47.000000,CUR37350132,42
ajs-next-c8dcb1496c00632dd02130ccb409a51c,2024-03-28 14:05:28.101000,TRU-CSB-10400-S-BLK,45
ajs-next-53edb0d9aef44c9b6a64f5783c31212e,2024-03-30 00:54:15.303000,SP-SL-S-BLK,20.99
ajs-next-0e6705718c1d85615f046272a2114233,2024-04-08 22:00:08.779000,SHE-HWS-55021-S-BGE,35.99
ajs-next-7436f3b9268e366537e3318ff5a6733c,2024-03-25 18:05:57.138000,SHE-HWS-55021-S-BGE,25.99
ajs-next-798458d6eacced94bd2424b34b001785,2024-04-11 00:23:24.791000,SHE-OBP-73007-S-BGE,21.99
ajs-next-de66193d0a39e6b1812cb051ecf0c602,2024-04-11 00:25:35.375000,SHE-HWS-55021-S-BGE,25.99
ajs-next-e7abfe68a35e4bfe0d3f3c282de61612,2024-04-11 00:38:10.725000,SHE-EMS-52002-S-LAT,35.99
ajs-next-2453c507783048945ff4f5af6b2b683a,2024-01-15 17:00:20.710000,SHE-HWS-55021-S-BGE,25.99
ajs-next-443b568823238d96fd18e9a31616316c,2024-02-09 15:58:43.927000,SHE-HWS-55021-S-BGE,25.99
ajs-next-cc4b5296736025ff6dcabcde01fc4af9,2024-03-07 21:59:36.188000,TRU-MSB3-51422-BLK-XSS,12.99
ajs-next-7aa50df0c6b50f09a2a2804c2117cb13,2024-04-10 11:21:27.290000,"",25.07
ajs-next-90faf342f4ce7d80c5f5cd1cf3201803,2024-03-14 21:51:40.071000,SP-SL-S-BLK,32.99
ajs-next-fe2c571d116b667ff285da0c1bc3c393,2024-02-19 23:13:00.233000,TRU-SPB-10022-S-BLK,28.99
ajs-next-402e3e099e7f8e573b2104bcbc657424,2024-01-05 16:48:55.057000,TRU-SB-91404-XS-BLK,28
ajs-next-6208e561ddd6d087c19637ba5deaa311,2024-01-05 16:34:08.770000,EMP-HWL-42075-S-BLK,30.99
ajs-next-14e4c9eab2ece9f123cde2a1610dd435,2024-03-05 11:27:51.275000,SHE-CSL-41402-S-BLK,37
ajs-next-852b99924f76101923769c307e4cd406,2024-03-05 11:29:06.212000,SHE-SNU-95002-S-BLK,48
ajs-next-70810f4dcad5defb603e6301766a1930,2024-03-05 11:27:21.918000,SHE-CSL-41402-S-BLK,37
ajs-next-2cf985b4915c05381b34c522a6b8c634,2024-01-23 16:25:54.604000,SHE-BHEB-13402-S-BLK,29.99
ajs-next-004d4567ad63ec99f363cca8eccb9392,2024-03-28 02:18:12.755000,SHE-BHEB-13402-S-RST,32.99
